global_step,epoch,step_in_epoch,phase,phase_blend_from,phase_blend_to,phase_blend_alpha,actor_loss,critic_loss,imag_return,entropy,plan_loss,wm_plan_loss,real_plan_loss,expected_cost,relative_cost,wm_relative_cost,real_relative_cost,margin_loss,wm_rank_loss,real_rank_loss,planner_entropy,actor_vs_planner_agreement,actor_vs_real_agreement,wm_real_best_agreement,real_teacher_mix,valid_action_count_mean,real_expected_cost,real_best_cost,lr,plan_weight,rank_weight,relative_weight,entropy_coef,wall_time,eval_latency_short,eval_reward_short,anchor_eval_latency,anchor_eval_reward,eval_score,best_eval_latency_so_far,best_eval_score_so_far,score_improved,short_guard_ok,anchor_guard_ok,rollback_triggered,is_best_checkpoint
22,0,21,A,A,A,0.0,0.7292209267616272,0.032216355204582214,-1931.1728477478027,0.6056697964668274,0.6135044693946838,0.614244818687439,0.6109083890914917,1.9311728477478027,0.06256943196058273,0.04168899357318878,0.10385731607675552,0.153292715549469,0.10885252058506012,0.23279821872711182,0.5951470136642456,0.7109375,0.6640625,0.7734375,0.333984375,1.984375,1.996675729751587,1.892818570137024,0.00045,1.1,0.25,0.45,0.02,1776781974.3093696,,,,,,,,,,,,
23,0,22,A,A,A,0.0,0.8799424171447754,0.06478843092918396,-2069.1232681274414,0.7006665468215942,0.726233184337616,0.7270165085792542,0.7233271598815918,2.0691232681274414,0.08940082788467407,0.05717294663190842,0.14931491017341614,0.2194754183292389,0.16159619390964508,0.32104426622390747,0.6897352933883667,0.625,0.5625,0.6796875,0.3480468988418579,2.171875,2.1006531715393066,1.951338291168213,0.00045,1.1,0.25,0.45,0.02,1776781974.3219311,,,,,,,,,,,,
24,0,23,A,A,A,0.0,0.7562671303749084,0.02078220434486866,-1942.4455165863037,0.6236280202865601,0.6398798227310181,0.6423125267028809,0.6320175528526306,1.9424455165863037,0.05813998728990555,0.03884027898311615,0.0952339917421341,0.15483571588993073,0.10547763109207153,0.23438210785388947,0.6227110028266907,0.7421875,0.59375,0.65625,0.3515625,2.015625,1.9437702894210815,1.8485362529754639,0.00045,1.1,0.25,0.45,0.02,1776781974.3327062,,,,,,,,,,,,
25,0,24,A,A,A,0.0,0.7873806953430176,0.036703068763017654,-1932.0303201675415,0.6426705121994019,0.662086009979248,0.6616042256355286,0.6593959331512451,1.9320303201675415,0.06577882170677185,0.043985605239868164,0.10580269992351532,0.1693560779094696,0.11576259136199951,0.25676900148391724,0.6374564170837402,0.71875,0.6328125,0.671875,0.3492187261581421,2.046875,1.9642465114593506,1.8584437370300293,0.00045,1.1,0.25,0.45,0.02,1776781974.3427105,,,,,,,,,,,,
26,0,25,A,A,A,0.0,0.7227638363838196,0.021336989477276802,-1830.132007598877,0.5991528034210205,0.6146885752677917,0.6127172112464905,0.6160974502563477,1.830132007598877,0.05250546708703041,0.03332795575261116,0.08887933939695358,0.1398477405309677,0.08252443373203278,0.2313157320022583,0.5990417003631592,0.765625,0.6015625,0.6953125,0.345703125,1.984375,1.8662350177764893,1.7773555517196655,0.00045,1.1,0.25,0.45,0.02,1776781974.354354,,,,,,,,,,,,
27,0,26,A,A,A,0.0,0.6908499002456665,0.02019965648651123,-2036.2498760223389,0.5787444114685059,0.5911852121353149,0.5902082920074463,0.589729905128479,2.036249876022339,0.051685355603694916,0.03237084299325943,0.08740001171827316,0.11545068025588989,0.05164244771003723,0.21214044094085693,0.5779021978378296,0.8203125,0.6171875,0.6953125,0.345703125,1.921875,2.076016426086426,1.9886162281036377,0.00045,1.1,0.25,0.45,0.02,1776781974.3662605,,,,,,,,,,,,
28,0,27,A,A,A,0.0,0.6962456107139587,0.01671300269663334,-1807.7809810638428,0.5852409601211548,0.6029750108718872,0.5998997688293457,0.6040184497833252,1.8077809810638428,0.046085506677627563,0.02839098684489727,0.07522937655448914,0.0957576334476471,0.012662896886467934,0.2080085575580597,0.589514970779419,0.9609375,0.65625,0.6640625,0.35039061307907104,1.9453125,1.8422389030456543,1.7670094966888428,0.00045,1.1,0.25,0.45,0.02,1776781974.3762643,,,,,,,,,,,,
29,0,28,A,A,A,0.0,0.6908156871795654,0.026552198454737663,-1949.3567943572998,0.5642428994178772,0.5846005082130432,0.5794156789779663,0.5888474583625793,1.9493567943572998,0.05670876055955887,0.0374605767428875,0.09252090752124786,0.1340840756893158,0.06158808246254921,0.2415294349193573,0.5657938718795776,0.8046875,0.6875,0.765625,0.33515626192092896,1.90625,1.9996107816696167,1.9070899486541748,0.00045,1.1,0.25,0.45,0.02,1776781974.3882737,,,,,,,,,,,,
30,0,29,A,A,A,0.0,0.7440283298492432,0.021551284939050674,-2068.709373474121,0.6165443658828735,0.6378381848335266,0.6360048055648804,0.6352115869522095,2.068709373474121,0.05941767990589142,0.03608383238315582,0.10335421562194824,0.11199702322483063,0.0357319675385952,0.2242509424686432,0.6207358837127686,0.8984375,0.671875,0.71875,0.3421875238418579,2.0234375,2.0874266624450684,1.9840725660324097,0.00045,1.1,0.25,0.45,0.02,1776781974.3999248,,,,,,,,,,,,
31,0,30,A,A,A,0.0,0.7322357892990112,0.030704379081726074,-2119.709014892578,0.6071317791938782,0.6180224418640137,0.6183204650878906,0.6154492497444153,2.119709014892578,0.06387772411108017,0.039709948003292084,0.10646523535251617,0.1432349681854248,0.07516665756702423,0.25070810317993164,0.6015799641609192,0.7421875,0.6171875,0.6484375,0.35273438692092896,1.9921875,2.122194528579712,2.0157294273376465,0.00045,1.1,0.25,0.45,0.02,1776781974.4099255,,,,,,,,,,,,
32,0,31,A,A,A,0.0,0.723587155342102,0.02830573543906212,-1906.814694404602,0.6019535064697266,0.6191558241844177,0.6195873022079468,0.6157914400100708,1.906814694404602,0.05905452370643616,0.03908095881342888,0.09568966180086136,0.11192117631435394,0.06080635264515877,0.19261756539344788,0.6010696291923523,0.859375,0.7421875,0.71875,0.3421875238418579,1.9765625,1.938498854637146,1.8428092002868652,0.00045,1.1,0.25,0.45,0.02,1776781974.4249995,,,,,,,,,,,,
